Data,"Line Type (constant_text, account_number, bill_date, bill_issue_date, bill_date_range, client_name, company_name, client address, company address)"
"PEPCO MD CUSTOMER R ae PO BOX 13608
",constant_text
,constant_text
,constant_text
,constant_text
"PUOOOUL5SOOUODODELS 2? LPPYOUOUDQUOUOUODOUOUOUOUODOUOOOUOOUOOUOUOOFDTYPTIOUOUODODOUOUOOFTYCILOLS
",constant_text
"PEPCO MD CUSTOMER R Your electric bill for the period
",constant_text
"Account number: 0123 4567 890 June 6, 2017 to July 6, 2017
",constant_text
"Details of your Electric Charges
",constant_text
"Rasidential Service - service number 0500 0068 71274 7001 86/6 8/7
",constant_text
"Flectricity you used this period
",constant_text
"Meter Energy End Start Number Total
",constant_text
"Number Type Date Date Of Days Use
",constant_text
"4ED353620226 Use (kWh) Jul 6 Jun 6 31 529
",constant_text
"Your meter records nourly use. Total use is the sum of this hourly data.
",constant_text
"Please visit My Account at peoco.com to view your energy use data.
",constant_text
"Your next bill period is scheduled to end on August 3, 2017
",constant_text
"Peak Energy Savings Credit: No Peak Savings Days were called during this
",constant_text
"billing period.
",constant_text
"Delivery Charges: These charges reflect the cost of bringing electricity to you.
",constant_text
"Current charges tor 31 days, summer rates In effect.
",constant_text
"Type of charge How we calculate this charge Amount($)
",constant_text
"Distrinution Services:
",constant_text
"Customer Cnarge 7.60
",constant_text
"Energy Charge 529 kWh X $0.0626550 per kWh 33.15
",constant_text
"Grid Resiliency Charge 529 kWh X $0.0001200 per kWh 0.06
",constant_text
"Franchise Tax (Delivery) 529 kWh X $0.0006200 per kWh 0.33
",constant_text
"Universal Service Charge 0.36
",constant_text
"MD Environmental
",constant_text
"Surcharge 529 kWh X $0.0001490 per kWh 0.08
",constant_text
"Empower MD Chg 529 kWh X $0.0075940 per kWh 4.02
",constant_text
"Gross Receipts Tax at 2.0408% 0.93
",constant_text
"Montgomery County
",constant_text
"Energy Tax 529 kWh X $0.0113044 per kWh 5.98
",constant_text
"Aaministrative Credit

529 kWh X $0.0002912- per kWh

0.15-
",constant_text
"CNM Credit: CREFA 150- kWh X $0.1089947 per kWh 16.35-
",constant_text
"CNM Credit: CREFB 100- kWh X $0.1089947 per kWh 10.90-
",constant_text
"Total Electric Delivery Charges 25.11
",constant_text
"Page 2 oT 3
",constant_text
"|_| Check here to enroll in the Direct Debit plan Sign and date here
",constant_text
"By signing here, you authorize Pepco to electronically dequct the amount of your monthly bill trom your checking account each month. The
",constant_text
"check you send with this signed authorization will be used to set up Direct Debit. You understand that we will notify you each month oft
",constant_text
"the date and amount of the debit, which will be on or atter the due date stated on your monthly bill. You understand that to witharaw this
",constant_text
"authorization you must call Peoco. You understand that Pepco does not charge Tor this service, but that your bank may have charges Tor this
",constant_text
,constant_text
,constant_text
"Washington DC Marylana
",constant_text
"701 Ninth St NW (Mon - Fri) 8:30am - 5:150m 201 West Gude Dr, Rockville (Mon - Fri) 10:00am - 2:000m
",constant_text
"2300 Martin Luther King Jr Ave SE (Mon - Fri) 9:00am - 5:00om 8300 Old Marlboro Pk, Forestville (Mon, Wea, Fri) 10:00am - 2:000m
",constant_text
"Any inguiry or complaint about this bill should be made prior to the due date, in order to avoid late charges.
",constant_text
"Electronic Check Conversion - When you provide a check as payment, you authorize us either to use Information trom your check to make a
",constant_text
"one-time electronic Tund transter trom your account or to process the payment as a check transaction.
",constant_text
"€*) Printed on recyclable paper.
",constant_text
"3 TOQOQQO008 QOOOQOOOQO 1 4
",constant_text
"PEPCO MD CUSTOMER R Your electric bill for the period
",constant_text
"Account number: 0123 4567 890 June 6, 2017 to July 6, 2017
",constant_text
"Supply Charges: These charges reflect the cost of producing electricity Tor you.
",constant_text
"You can compare this part of your bill to offers trom competitive suppliers.
",constant_text
"Supply Price Comparison Information: The current price tor Standard Otter Service
",constant_text
"(SOS) electricity is 7.98 cents/kWh, ettective through Sep 30, 2017. SOS electricity
",constant_text
"will cost 7.70 cents/kWh, beginning on Oct 1, 2017 through May 31, 2018. The
",constant_text
"orice tor SOS atter May 31, 2018 has not yet been set. The weighted average price
",constant_text
"of SOS electricity will be 7.82 cents/kWh through May 31, 2018.
",constant_text
"Billing Period: Jun 6, 2017 to Jul 6, 2017 (31 days)
",constant_text
"Type of charge How we calculate this charge Amount($)
",constant_text
,constant_text
"Energy Charge

529 kWh X $0.0070100 per kWh
",constant_text
"Gross Receipts Tax at 2.0408% 0.08
",constant_text
"(,;eneration Services:
",constant_text
"Energy Charge 529 kWh X $0.0726300 per kWh 38.42
",constant_text
,constant_text
"Adjustment 529 kWh X $0.0005275- per kWh 0.28-
",constant_text
"Total Electric Supply Charges 41.93
",constant_text
"Total Electric Charges - Residential Service 67.04
",constant_text
"Your daily electricity use for this bill period. Visit My Account at pepco.com to see your hourly electricity use.
",constant_text
"Meter Number 4ED3536702776
",constant_text
"42 65 66 /2 // 82 34 85 S83 /8& /6 7/9 83S BSU /9 BU BZ BZ B82 BU // /5 1/3 18 B2 BZ BS 84 BS /8 /6
",constant_text
,constant_text
,constant_text
,constant_text
"ate
",constant_text
"Page 3 of 3
",constant_text
